,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
449,85021,2,17,473,7.93,33.078,60
450,89844,2,10,472,7.2,45.216,0
451,66871,2,18,470,7.366,24.886,43
452,69998,1,102,468,7.2,20.33,50
453,79086,3,30,468,8.12,51.749,56
454,129035,1,4,468,7.801,49.443,0
455,210232,1,7,466,7.34,21.349,48
456,60585,7,68,462,7.985,121.65,45
457,73544,3,30,460,8.027,96.299,55
458,117023,3,24,460,7.612,22.98,26
459,62699,1,10,460,7.704,12.231,55
460,61671,4,51,460,7.171,38.44,30
461,93287,2,16,459,7.333,35.773,0
462,88052,2,16,459,7.071,20.329,45
463,66433,1,20,457,8.635,23.658,60
464,100412,2,18,456,8.002,15.953,28
465,88046,3,48,456,8.493,10.897,24
466,79863,1,10,455,7.862,10.583,42
467,127865,1,6,455,7.584,15.75,55
468,60858,1,13,454,6.849,17.078,43
469,114395,1,24,451,8.422,28.923,24
470,116450,2,21,450,7.542,56.003,44
471,197588,1,9,448,7.26,18.764,11
472,88324,5,54,448,8.032,54.192,45
473,73467,1,7,447,7.724,37.014,80
474,82282,1,96,444,7.8,31.656,0
475,128883,1,16,442,8.233,35.367,78
476,112314,1,8,442,7.219,20.088,53
477,79084,3,26,442,8.293,23.037,42
478,68073,7,317,439,7.828,726.719,11
479,93811,2,12,439,7.274,17.453,37
480,91977,3,30,438,8.083,72.288,45
481,62413,5,50,437,6.879,23.081,43
482,82585,1,13,436,7.0,16.672,60
483,96129,1,3,435,7.649,8.126,62
484,82424,4,39,434,7.763,31.452,30
485,108296,1,8,434,5.797,23.084,55
486,71225,5,42,433,7.835,29.636,50
487,155537,1,6,433,8.15,52.431,60
488,66825,2,180,431,7.682,151.143,60
489,94810,1,4,431,8.05,67.919,45
490,92916,1,8,430,7.574,17.692,52
491,81357,3,30,429,7.33,25.695,30
492,129552,1,10,429,7.909,55.48,0
493,66958,1,13,427,8.067,14.764,24
494,111111,1,8,427,7.864,17.59,30
495,64254,3,25,423,7.559,15.68,60
496,94154,2,82,423,7.405,79.177,56
497,97173,1,6,423,7.418,17.668,50
